id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
0,Blue Facebook T-Shirt (Unisex),A vibrant blue crewneck T-shirt for all shapes and sizes. Made from 100% cotton.,in stock,new,15.00 USD,https://www.facebook.com/facebook_t_shirt,https://www.facebook.com/t_shirt_image_001.jpg,Facebook,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,75,12.00 USD,2024-07-01T00:00+05:30/2024-08-31T23:59+05:30,,unisex,royal blue,M,adult,cotton,stripes,US:CA:Ground:9.99 USD;US:NY:Air:15.99 USD,10 kg,Valid while supplies last. Terms and conditions apply.,https://example.com/terms-and-conditions,http://www.facebook.com/a0.mp4,Gym,8806088573892,some_string,other,Bodycon
1,Black Premium Leather Jacket,Classic biker-style leather jacket with quilted shoulders and zippered pockets. Made from genuine cowhide leather.,in stock,new,249.99 USD,https://example.com/leather-jacket,https://example.com/leather-jacket-image.jpg,UrbanWear,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,45,219.99 USD,2024-07-01T00:00+05:30/2024-08-31T23:59+05:30,group_jacket_001,male,black,L,adult,leather,solid,US:ALL:Standard:12.99 USD;UK:ALL:Standard:15.99 USD,2.5 kg,Free returns within 30 days.,https://example.com/terms,https://example.com/jacket-video.mp4,Fashion,1234567890123,leather,winter,Biker
2,White Cotton Sneakers,Comfortable everyday sneakers with cushioned soles and breathable mesh upper. Perfect for casual wear.,in stock,new,59.99 USD,https://example.com/sneakers-white,https://example.com/sneakers-image.jpg,SoleMate,Shoes > Athletic Shoes,Shoes > Athletic,120,49.99 USD,2024-08-15T00:00+05:30/2024-09-15T23:59+05:30,group_shoe_002,unisex,white,42,adult,cotton/mesh,striped,IN:ALL:Standard:5.99 USD;US:ALL:Standard:14.99 USD,0.8 kg,Free shipping on orders above $50.,https://example.com/sneaker-terms,https://example.com/sneaker-video.mp4,Sports,9876543210987,shoes,casual,Athletic
3,Blue Denim Jeans Slim Fit,Classic slim-fit jeans with slight stretch for comfort. Features five-pocket styling and button closure.,in stock,new,79.99 USD,https://example.com/denim-jeans,https://example.com/denim-jeans-image.jpg,DenimCo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,200,69.99 USD,2024-09-01T00:00+05:30/2024-10-01T23:59+05:30,group_jeans_003,male,dark blue,32,adult,denim,stonewash,US:ALL:Standard:11.99 USD;CA:ALL:Standard:14.99 USD,0.9 kg,15% off for first-time buyers.,https://example.com/jeans-terms,https://example.com/jeans-video.mp4,Fashion,8901234567890,denim,everyday,Casual
,Red Silk Scarf,Luxurious silk scarf with floral print design. Perfect accessory for any occasion.,in stock,new,34.99 USD,https://example.com/silk-scarf,https://example.com/silk-scarf-image.jpg,LuxSilk,Apparel & Accessories > Accessories,Accessories > Scarves,30,29.99 USD,2024-07-15T00:00+05:30/2024-08-15T23:59+05:30,group_scarf_004,female,red,One Size,adult,silk,floral,US:ALL:Standard:8.99 USD;EU:ALL:Standard:12.99 USD,0.2 kg,Gift wrapping available.,https://example.com/scarf-terms,https://example.com/scarf-video.mp4,Fashion,5678901234567,accessory,gift,Luxury
5,,High-density yoga mat with non-slip surface. Includes carrying strap and alignment lines.,in stock,new,39.99 USD,https://example.com/yoga-mat,https://example.com/yoga-mat-image.jpg,FitGear,Sports > Exercise Equipment,Sports & Outdoors > Exercise & Fitness,150,34.99 USD,2024-08-01T00:00+05:30/2024-09-01T23:59+05:30,,unisex,grey,One Size,adult,PVC,ribbed,US:ALL:Standard:13.99 USD;UK:ALL:Standard:16.99 USD,1.2 kg,Eco-friendly material.,https://example.com/yoga-terms,https://example.com/yoga-video.mp4,Fitness,3456789012345,fitness,yoga,Essential
6,Wireless Bluetooth Earbuds,Premium true wireless earbuds with noise cancellation and 24-hour battery life. IPX5 water-resistant.,in stock,new,99.99 USD,https://example.com/bluetooth-earbuds,https://example.com/earbuds,SoundWave,Electronics > Audio > Headphones,Electronics > Headphones,80,89.99 USD,2024-09-10T00:00+05:30/2024-10-10T23:59+05:30,group_earbuds_006,unisex,black,One Size,adult,plastic,glossy,IN:ALL:Standard:3.99 USD;US:ALL:Standard:12.99 USD,0.3 kg,1-year warranty included.,https://example.com/earbuds-terms,https://example.com/earbuds-video.mp4,Electronics,2345678901234,tech,wireless,Modern
7,Ceramic Coffee Mug,Stylish 12oz ceramic mug with minimalist design. Microwave and dishwasher safe.,instock,new,19.99 USD,https://example.com/coffee-mug,https://example.com/mug-image.jpg,KitchenCraft,Home & Garden > Kitchen > Tableware,Home & Kitchen > Kitchen & Dining,250,16.99 USD,2024-08-20T00:00+05:30/2024-09-20T23:59+05:30,group_mug_007,unisex,white,One Size,adult,ceramic,solid,US:ALL:Standard:8.99 USD;CA:ALL:Standard:10.99 USD,0.5 kg,Handcrafted in India.,https://example.com/mug-terms,https://example.com/mug-video.mp4,Home,4567890123456,kitchen,gift,Minimalist
8,Nylon Backpack,Spacious 30L backpack with padded laptop sleeve and multiple compartments. Water-resistant material.,out of stock,used,69.99,https://example.com/backpack,https://example.com/backpack-image.jpg,AdventureGear,Bags & Luggage > Backpacks,Bags > Backpacks,0,59.99 USD,2024-06-01T00:00+05:30/2024-07-01T23:59+05:30,group_bag_008,male,green,M,adult,nylon,textured,IN:ALL:Standard:7.99 USD;US:ALL:Standard:16.99 USD,1.5 kg,Perfect for travel and daily use.,https://example.com/backpack-terms,https://example.com/backpack-video.mp4,Travel,6789012345678,backpack,outdoor,Travel
9,Gold Plated Earrings,Elegant gold-plated stud earrings with cubic zirconia stones. Hypoallergenic and safe for sensitive ears.,in stock,new,49.99 USD,www.example.com/earrings,https://example.com/earrings-image.jpg,SparkleJewelry,Jewelry > Earrings,Jewelry > Earrings,60,44.99 USD,2024-09-15T00:00+05:30/2024-10-15T23:59+05:30,group_earrings_009,female,gold,One Size,adult,gold plated,stud,US:ALL:Standard:9.99 USD;IN:ALL:Standard:5.99 USD,0.1 kg,Gift box included.,https://example.com/earrings-terms,https://example.com/earrings-video.mp4,Jewelry,7890123456789,jewelry,gold,Elegant
